[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_quark}
32 40 9 10 4 0 100 8.252 11.892 
40 51 9 10 4 0 100 8.595 13.184 
51 64 9 10 4 0 100 8.685 14.432 
64 80 9 10 4 0 100 8.327 15.674 
80 101 9 10 4 0 100 8.201 16.823 
101 127 9 10 4 0 100 8.268 18.089 
127 159 9 10 4 0 100 7.935 19.157 
159 200 9 10 4 0 100 7.617 20.231 
200 252 9 10 4 0 100 7.547 21.154 
252 317 9 10 4 0 100 7.266 22.024 
317 399 9 10 4 0 100 7.510 22.644 
399 502 9 10 4 0 100 7.045 22.953 
502 632 9 10 4 0 100 7.628 23.869 
632 795 9 10 4 0 100 8.205 23.451 
795 1000 9 10 4 0 100 8.931 23.966 
1000 3500 9 10 4 0 100 10.470 23.613 
20 26 10 11 4 0 100 7.847 10.213 
26 32 10 11 4 0 100 8.087 11.180 
32 40 10 11 4 0 100 8.419 12.251 
40 51 10 11 4 0 100 8.852 13.548 
51 64 10 11 4 0 100 9.064 14.847 
64 80 10 11 4 0 100 8.472 15.937 
80 101 10 11 4 0 100 8.544 17.303 
101 127 10 11 4 0 100 8.724 18.383 
127 159 10 11 4 0 100 7.870 19.540 
159 200 10 11 4 0 100 7.945 20.590 
200 252 10 11 4 0 100 7.537 21.490 
252 317 10 11 4 0 100 7.656 22.358 
317 399 10 11 4 0 100 7.407 23.018 
399 502 10 11 4 0 100 7.851 23.682 
502 632 10 11 4 0 100 7.611 23.997 
632 795 10 11 4 0 100 7.700 24.033 
795 1000 10 11 4 0 100 9.172 24.449 
1000 3500 10 11 4 0 100 9.717 24.031 
20 26 11 12 4 0 100 7.992 10.556 
26 32 11 12 4 0 100 8.564 11.616 
32 40 11 12 4 0 100 8.591 12.616 
40 51 11 12 4 0 100 8.906 13.861 
51 64 11 12 4 0 100 8.901 15.189 
64 80 11 12 4 0 100 8.842 16.393 
80 101 11 12 4 0 100 8.511 17.664 
101 127 11 12 4 0 100 8.487 18.863 
127 159 11 12 4 0 100 8.334 19.869 
159 200 11 12 4 0 100 7.850 21.064 
200 252 11 12 4 0 100 7.634 21.813 
252 317 11 12 4 0 100 7.596 22.725 
317 399 11 12 4 0 100 7.673 23.237 
