[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nNeutral_quark}
252 317 4 5 4 0 100 6.119 19.899 
317 399 4 5 4 0 100 6.155 20.677 
399 502 4 5 4 0 100 6.175 21.279 
502 632 4 5 4 0 100 6.237 21.782 
632 795 4 5 4 0 100 6.448 22.083 
795 1000 4 5 4 0 100 6.788 21.916 
1000 3500 4 5 4 0 100 7.459 22.260 
20 26 5 6 4 0 100 6.295 7.627 
26 32 5 6 4 0 100 6.841 8.673 
32 40 5 6 4 0 100 7.198 9.721 
40 51 5 6 4 0 100 7.359 10.982 
51 64 5 6 4 0 100 7.492 12.284 
64 80 5 6 4 0 100 7.479 13.599 
80 101 5 6 4 0 100 7.379 14.907 
101 127 5 6 4 0 100 7.130 16.114 
127 159 5 6 4 0 100 6.867 17.296 
159 200 5 6 4 0 100 6.613 18.391 
200 252 5 6 4 0 100 6.472 19.342 
252 317 5 6 4 0 100 6.293 20.245 
317 399 5 6 4 0 100 6.168 20.963 
399 502 5 6 4 0 100 6.359 21.609 
502 632 5 6 4 0 100 6.510 22.046 
632 795 5 6 4 0 100 6.763 22.490 
795 1000 5 6 4 0 100 7.139 22.262 
1000 3500 5 6 4 0 100 7.731 21.929 
20 26 6 7 4 0 100 6.504 7.908 
26 32 6 7 4 0 100 7.153 8.974 
32 40 6 7 4 0 100 7.315 10.026 
40 51 6 7 4 0 100 7.548 11.288 
51 64 6 7 4 0 100 7.655 12.575 
64 80 6 7 4 0 100 7.768 13.885 
80 101 6 7 4 0 100 7.563 15.159 
101 127 6 7 4 0 100 7.300 16.380 
127 159 6 7 4 0 100 7.108 17.545 
159 200 6 7 4 0 100 6.842 18.637 
200 252 6 7 4 0 100 6.641 19.659 
252 317 6 7 4 0 100 6.424 20.500 
317 399 6 7 4 0 100 6.387 21.388 
399 502 6 7 4 0 100 6.330 21.983 
502 632 6 7 4 0 100 6.427 22.493 
632 795 6 7 4 0 100 6.842 22.446 
795 1000 6 7 4 0 100 7.410 22.536 
1000 3500 6 7 4 0 100 7.698 22.737 
20 26 7 8 4 0 100 6.836 8.245 
26 32 7 8 4 0 100 7.301 9.211 
32 40 7 8 4 0 100 7.602 10.347 
40 51 7 8 4 0 100 7.687 11.560 
51 64 7 8 4 0 100 7.914 12.904 
64 80 7 8 4 0 100 7.953 14.203 
80 101 7 8 4 0 100 7.741 15.424 
101 127 7 8 4 0 100 7.459 16.710 
127 159 7 8 4 0 100 7.232 17.845 
159 200 7 8 4 0 100 6.923 19.037 
200 252 7 8 4 0 100 6.750 19.887 
252 317 7 8 4 0 100 6.629 20.855 
317 399 7 8 4 0 100 6.491 21.606 
399 502 7 8 4 0 100 6.567 22.147 
502 632 7 8 4 0 100 6.702 22.651 
632 795 7 8 4 0 100 6.887 22.812 
795 1000 7 8 4 0 100 7.255 23.097 
1000 3500 7 8 4 0 100 7.771 22.601 
20 26 8 9 4 0 100 7.014 8.450 
26 32 8 9 4 0 100 7.508 9.548 
32 40 8 9 4 0 100 7.721 10.640 
40 51 8 9 4 0 100 7.916 11.849 
51 64 8 9 4 0 100 8.221 13.149 
64 80 8 9 4 0 100 8.129 14.460 
80 101 8 9 4 0 100 7.828 15.731 
101 127 8 9 4 0 100 7.607 17.002 
127 159 8 9 4 0 100 7.332 18.110 
159 200 8 9 4 0 100 7.198 19.195 
200 252 8 9 4 0 100 6.973 20.210 
252 317 8 9 4 0 100 6.825 21.159 
317 399 8 9 4 0 100 6.653 21.918 
399 502 8 9 4 0 100 6.664 22.498 
502 632 8 9 4 0 100 6.927 22.886 
632 795 8 9 4 0 100 7.209 22.957 
795 1000 8 9 4 0 100 8.005 23.312 
1000 3500 8 9 4 0 100 8.577 23.257 
20 26 9 10 4 0 100 7.163 8.778 
26 32 9 10 4 0 100 7.702 9.845 
32 40 9 10 4 0 100 8.116 10.901 
40 51 9 10 4 0 100 8.136 12.096 
51 64 9 10 4 0 100 8.315 13.443 
64 80 9 10 4 0 100 8.195 14.722 
80 101 9 10 4 0 100 8.003 16.023 
101 127 9 10 4 0 100 7.830 17.261 
127 159 9 10 4 0 100 7.504 18.413 
159 200 9 10 4 0 100 7.236 19.580 
200 252 9 10 4 0 100 7.063 20.526 
252 317 9 10 4 0 100 6.928 21.408 
317 399 9 10 4 0 100 6.874 22.207 
399 502 9 10 4 0 100 6.915 22.746 
502 632 9 10 4 0 100 6.834 23.173 
632 795 9 10 4 0 100 7.245 23.249 
795 1000 9 10 4 0 100 7.992 23.363 
1000 3500 9 10 4 0 100 8.177 22.733 
20 26 10 11 4 0 100 7.290 9.083 
26 32 10 11 4 0 100 7.565 10.063 
32 40 10 11 4 0 100 8.050 11.169 
40 51 10 11 4 0 100 8.416 12.410 
51 64 10 11 4 0 100 8.512 13.770 
64 80 10 11 4 0 100 8.305 15.034 
80 101 10 11 4 0 100 8.189 16.343 
101 127 10 11 4 0 100 8.083 17.517 
127 159 10 11 4 0 100 7.727 18.703 
159 200 10 11 4 0 100 7.377 19.841 
200 252 10 11 4 0 100 7.163 20.820 
252 317 10 11 4 0 100 7.092 21.805 
317 399 10 11 4 0 100 6.828 22.422 
399 502 10 11 4 0 100 6.872 23.157 
502 632 10 11 4 0 100 7.208 23.574 
632 795 10 11 4 0 100 7.386 23.775 
795 1000 10 11 4 0 100 8.317 23.395 
1000 3500 10 11 4 0 100 7.529 23.821 
20 26 11 12 4 0 100 7.558 9.307 
26 32 11 12 4 0 100 8.018 10.378 
32 40 11 12 4 0 100 8.321 11.484 
40 51 11 12 4 0 100 8.539 12.663 
51 64 11 12 4 0 100 8.457 14.035 
64 80 11 12 4 0 100 8.503 15.333 
80 101 11 12 4 0 100 8.354 16.541 
101 127 11 12 4 0 100 8.113 17.852 
127 159 11 12 4 0 100 7.894 18.985 
159 200 11 12 4 0 100 7.434 20.184 
200 252 11 12 4 0 100 7.337 21.053 
252 317 11 12 4 0 100 7.052 22.079 
317 399 11 12 4 0 100 7.049 22.687 
